Book-Id,ISBN,Book-Title,Book-Author,Publisher,Year-Of-Publication,categories,description,Image-URL-S,Image-URL-M,Image-URL-L
20,0425181111,Strangers,Dean R. Koontz,Berkley Publishing Group,2002,Fiction,"A group of seemingly unrelated people experiences sensations of numbing terror and fear and, groping their way toward one another, discover their sinister, shared secrets in a chilling climax that changes their lives forever. Reissue.",http://images.amazon.com/images/P/0425181111.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425181111.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425181111.01.LZZZZZZZ.jpg
21,0140286276,The Deep End of the Ocean (Oprah's Book Club),Jacquelyn Mitchard,Penguin Books,1999,Fiction,"The disappearance of her three-year-old son Ben threatens to drive a wedge between Beth Cappadora and her husband, Pat, and transforms her older son into a troubled delinquent, until one day nine years later when Ben comes back into their lives",http://images.amazon.com/images/P/0140286276.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140286276.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140286276.01.LZZZZZZZ.jpg
22,080213825X,Four Blondes,Candace Bushnell,Grove Press,2001,Fiction,"Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful.",http://images.amazon.com/images/P/080213825X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080213825X.01.LZZZZZZZ.jpg
23,0312980388,Warlock : A Novel of Ancient Egypt,Wilbur Smith,St. Martin's Paperbacks,2002,Fiction,"After the death of his beloved Queen Lostris, Taita heads to the harsh deserts of North Africa to devote himself to a study of the occult, to become a warlock, and to fulfill his destiny to protect the dynasty of Lostris from the evil that threatens ancient Egypt. Reprint.",http://images.amazon.com/images/P/0312980388.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312980388.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312980388.01.LZZZZZZZ.jpg
24,0425182878,Chosen Prey,John Sandford,Berkley Publishing Group,2004,Fiction,"Hoping to use a supposedly straightforward case of murder to clear his mind, Deputy Chief Lucas Davenport finds himself matching wits with an ever-escalating serial killer, art history professor, congenial pervert, and sexual predator James Qatar.",http://images.amazon.com/images/P/0425182878.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg
25,0743412621,The Second Time Around : A Novel,Mary Higgins Clark,Pocket,2004,Fiction,"The ""Queen of Suspense,"" Mary Higgins Clark, delivers a gripping tale of deception and tantalizing twists that might have been ripped from today's headlines. When Nicholas Spencer, the charismatic head of a company that has developed an anticancer vaccine, disappears without a trace, reporter Marcia ""Carley"" DeCarlo is assigned the story. Word that Spencer, if alive, has made off with huge sums of money -- including the life savings of many employees -- doesn't do much to change Carley's already low opinion of Spencer's wife, Lynn, who is also Carley's stepsister and whom everyone believes is involved. But when Lynn's life is threatened, she asks Carley to help her prove that she wasn't her husband's accomplice. As the facts unfold, however, Carley herself becomes the target of a dangerous, sinister group that will stop at nothing to get what they want.",http://images.amazon.com/images/P/0743412621.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743412621.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743412621.01.LZZZZZZZ.jpg
26,0385335679,Kissing in Manhattan,DAVID SCHICKLER,Delta,2002,Fiction,"At the Preemption, a mysterious apartment building with a prophetic doorman named Sender, the destinies of an offbeat group of tenants intertwine with the lives of three characters--James Branch, a shy accountant attached to the building's antique elevator; Wall Street lothario Patrick Rigg; and Rally McWilliams, an aspiring writer searching for a soulmate, in a collection of interlinked stories. Reissue. 45,000 first printing.",http://images.amazon.com/images/P/0385335679.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335679.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335679.01.LZZZZZZZ.jpg
27,0142000205,Icy Sparks,Gwyn Hyman Rubio,Penguin Books,2001,Fiction,"After years of living in a children's asylum for having spontaneous jerks and spasms, Icy returns home and is quickly befriended by Miss Emily, who cares for her and teaches her the ways of life, transforming Icy into a new person and forever changing her view of the world.",http://images.amazon.com/images/P/0142000205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
28,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,Del Rey,1986,Fiction,"Frodo Baggins, Sam, and a small band of companions quest to return the One Ring to the one place where it can be destroyed. They are being followed by the Ringwraiths, who want to return the ring for themselves.",http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg
29,0345418778,Mostly Harmless,Douglas Adams,Ballantine Books,2000,Fiction,"Raised on a planet at the remote edge of the universe, the daughter of Arthur Dent sets out on a transgalactic quest to find the planet of her ancestors",http://images.amazon.com/images/P/0345418778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345418778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345418778.01.LZZZZZZZ.jpg
30,0451155750,The Dead Zone,Stephen King,Signet Book,2004,Fiction,"After four and a half years in a coma, Johnny Smith awakens with a knowledge of the death zone and an ability to see the future, a horrible power that he does not want and cannot escape",http://images.amazon.com/images/P/0451155750.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451155750.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451155750.01.LZZZZZZZ.jpg
31,0451454243,The Forest House,Marion Zimmer Bradley,Roc,1995,Fiction,"In a tale set in Druidic England, Eilan feels torn between her love for a young Roman soldier and her inner need to become a priestess for her Goddess",http://images.amazon.com/images/P/0451454243.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451454243.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451454243.01.LZZZZZZZ.jpg
32,0425134350,Patriot Games,Tom Clancy,Berkley Publishing Group,1992,"Ryan, Jack (Fictitious character)",A former CIA analyst vacationing with his family in London helps thwart a terrorist attack on a member of the Royal Family and becomes the target of the terrorist whose brother he killed.,http://images.amazon.com/images/P/0425134350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425134350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425134350.01.LZZZZZZZ.jpg
33,0380759497,Xanth 15: The Color of Her Panties,Piers Anthony,Eos,1992,Fiction,"We See England, We See Xanth, We See Mels's Underpanth In fact, Gwenny Goblin, Che Centaur and Jenny Elf are just about the only creatures on Xanth who have been spared the sight of Mela Merwoman's undergarment -- preoccupied as they are with helping Gwenny beat out her awful half-brother Gobble for chiefship of the goblin horde. But first they must master space and thyme . . . and find the fabulous egg that sits between the Roc and the hard place. While Mela -- who would gladly relinquish her oft-viewed undies for a new husband -- joins the Adult Conspiracy . . . and quickly discovers the power of a perfect pair of panties!",http://images.amazon.com/images/P/0380759497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380759497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380759497.01.LZZZZZZZ.jpg
34,0064472779,All-American Girl,Meg Cabot,HarperTrophy,2003,Juvenile Fiction,"Top Ten Reasons Samantha Madison is in Deep Trouble 10. Her big sister is the most popular girl in school 9. Her little sister is a certified genius 8. She's in love with her big sister's boyfriend 7. She got caught selling celebrity portraits in school 6. And now she's being forced to take art classes 5. She's just saved the president of the United Statesfrom an assassination attempt 4. So the whole world thinks she is a hero 3. Even though Sam knows she is far, far from being a hero 2. And now she's been appointed teen ambassador to the UNAnd the number-one reason Sam's life is over?1. The president's son just might be in love with her",http://images.amazon.com/images/P/0064472779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064472779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064472779.01.LZZZZZZZ.jpg
35,0312422156,Middlesex: A Novel,Jeffrey Eugenides,Picador,2003,Fiction,"Calliope's friendship with a classmate and her sense of identity are compromised by the adolescent discovery that she is a hermaphrodite, a situation with roots in her grandparents' desperate struggle for survival in the 1920s. By the author of The Virgin Suicides.Reader's Guide available. Reprint. 100,000 first printing.",http://images.amazon.com/images/P/0312422156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg
36,0394820371,The Phantom Tollbooth,Norton Juster,Yearling Books,1993,Juvenile Fiction,A journey through a land where Milo learns the importance of words and numbers provides a cure for his boredom.,http://images.amazon.com/images/P/0394820371.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394820371.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394820371.01.LZZZZZZZ.jpg
37,0140620125,Wuthering Heights (Penguin Popular Classics),Emily Bronte,Penguin Books Ltd,1994,Fiction,"In a house haunted by memories, the past is everywhere ... As darkness falls, a man caught in a snowstorm is forced to shelter at the strange, grim house Wuthering Heights. It is a place he will never forget. There he will come to learn the story of Cathy: how she was forced to choose between her well-meaning husband and the dangerous man she had loved since she was young. How her choice led to betrayal and terrible revenge - and continues to torment those in the present. How love can transgress authority, convention, even death. And how desire can kill.",http://images.amazon.com/images/P/0140620125.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140620125.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140620125.01.LZZZZZZZ.jpg
38,0451527038,The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Jack London,Signet Classics,1998,Fiction,Presents a collection of tales that explore the adventures and hardships of man and beast in the frigid Yukon and other northern territories.,http://images.amazon.com/images/P/0451527038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451527038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451527038.01.LZZZZZZZ.jpg
39,0345443284,While I Was Gone,Sue Miller,Ballantine Books,1999,Fiction,"Having moved on with her life after a friend was brutally murdered, Jo Becker is now married with a grown family, but when an old housemate moves into the neighborhood, Jo rekindles a relationship that takes her back to the past and threatens her future",http://images.amazon.com/images/P/0345443284.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg
40,0872203492,Plato Complete Works,Plato,Hackett Publishing Company,1997,Fiction,Gathers translations of Plato's works and includes guidance on approaching their reading and study,http://images.amazon.com/images/P/0872203492.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0872203492.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0872203492.01.LZZZZZZZ.jpg
41,0312420145,The Twenty-Seventh City : A Novel (Bestselling Backlist),Jonathan Franzen,Picador,2001,Fiction,"S. Jammu, a young, ambitious Indian woman, is sworn in as police chief of St. Louis where the acts of private citizens are monitored and the actions of Martin Probst and his family threaten to destroy her plan. Reprint.",http://images.amazon.com/images/P/0312420145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312420145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312420145.01.LZZZZZZZ.jpg
42,0553273914,The House of the Spirits,Isabel Allende,Bantam Books,1986,Fiction,"Traces the lives of the Truebas family, starting with clairvoyant Clara de Valle's summoning of the man she intends to marry, ambitious Esteban Trueba, and following their lives through which they suffer and triumph.",http://images.amazon.com/images/P/0553273914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553273914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553273914.01.LZZZZZZZ.jpg
43,0345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan,Ballantine Books,1997,"Body, Mind & Spirit","Reveals the dangers associated with widespread scientific ignorance, and explains how scientific thought has served to overcome prejudice and hysteria",http://images.amazon.com/images/P/0345409469.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345409469.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345409469.01.LZZZZZZZ.jpg
44,0345375211,The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),J. R. R. Tolkien,Del Rey Books,1992,Fiction,"The first form of the myths and legends in Tolkien's conception of the Middle Kingdom features the adventures of Eriol, and the tales of Beren and Luthien, Turin and the dragon, the necklace of the dwarves, and the fall of Gondolin. Reissue.",http://images.amazon.com/images/P/0345375211.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345375211.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345375211.01.LZZZZZZZ.jpg
45,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,Perennial,1989,Fiction,"The eccentric, mysterious, naive, jaded, up-and-coming, down-and-out, adventuresome, and withdrawn boarders in Russian Hill share their dissimilar worlds and worries",http://images.amazon.com/images/P/0060964049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060964049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060964049.01.LZZZZZZZ.jpg
46,0553572490,Vice,Jane Feather,Bantam,1996,Fiction,"On the run since accidentally killing her elderly groom on their honeymoon, Juliana considers a shocking proposal by the handsome Duke of Redmayne in which she would pose as his mistress. Original.",http://images.amazon.com/images/P/0553572490.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553572490.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553572490.01.LZZZZZZZ.jpg
47,0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Perennial,2003,Fiction,"The birth of Jesus has been well chronicled, as have his glorious teachings, acts, and divine sacrifice after his thirtieth birthday. But no one knows about the early life of the Son of God, the missing years -- except Biff, the Messiah's best bud, who has been resurrected to tell the story in the divinely hilarious yet heartfelt work ""reminiscent of Vonnegut and Douglas Adams"" (Philadelphia Inquirer). Verily, the story Biff has to tell is a miraculous one, filled with remarkable journeys, magic, healings, kung fu, corpse reanimations, demons, and hot babes. Even the considerable wiles and devotion of the Savior's pal may not be enough to divert Joshua from his tragic destiny. But there's no one who loves Josh more -- except maybe ""Maggie,"" Mary of Magdala -- and Biff isn't about to let his extraordinary pal suffer and ascend without a fight.",http://images.amazon.com/images/P/0380813815.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380813815.01.LZZZZZZZ.jpg
48,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,Riverhead Books,1997,Biography & Autobiography,"An African American man describes life as the son of a white mother and Black father, reflecting on his mother's contributions to his life and his confusion over his own identity",http://images.amazon.com/images/P/1573225789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225789.01.LZZZZZZZ.jpg
49,0446606812,Message in a Bottle,Nicholas Sparks,Warner Vision,1999,Fiction,"In this New York Times bestseller, a single mother sets out to find the North Carolina man who sent a message meant for someone else . . . and the journey may change her life forever. Divorced and disillusioned about relationships, Theresa Osborne is jogging when she finds a bottle on the beach. Inside is a letter of love and longing to ""Catherine,"" signed simply ""Garrett."" Challenged by the mystery and pulled by emotions she doesn't fully understand, Theresa begins a search for this man that will change her life. What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart. In his first bestselling novel, The Notebook, he created a testament to romantic love that touched readers around the world. Now in this New York Times bestseller, he renews our faith in destiny, in the ability of lovers to find each other no matter where, no matter when...",http://images.amazon.com/images/P/0446606812.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606812.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606812.01.LZZZZZZZ.jpg
50,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,Perennial,1999,Fiction,"Nathan Price, a evangelical Baptist who in 1959 has taken his wife and four daughters on a mission to the Belgian Congo, finds that their traditions are no longer secure in this very different world. Reprint. 250,000 first printing.",http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
51,0785263780,Only The River Runs Free : A Novel (Galway Chronicles (Paperback)),Bodie Thoene,WestBow Press,2003,Fiction,"It was four o'clock on the afternoon of December twenty-fourth, 1841, in the village of Ballynockanor, County of Galway, Province of Connaught, Ireland. It was after mass on the first day of Advent that the old woman, Mad Molly Fahey, had told Father O'Bannon (as well as every farmer, farmer's wife and child) that a great miracle was coming to visit the poor of Ballynockanor. The village is in sore need of a miracle. Struggling under grinding poverty and a greedy landlord, Ballynockanor is the story of a thousand Irish villages where an English usurper is despied by his Irish tenants.",http://images.amazon.com/images/P/0785263780.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0785263780.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0785263780.01.LZZZZZZZ.jpg
