User-ID,ISBN,Book-Rating
276747,0679776818,8
276804,0440498058,8
276808,0395547032,10
276822,0141310340,9
276872,0425188221,7
276904,0440228840,10
276925,0140154078,6
276925,0141181222,0
276929,0060964049,0
276929,0439064864,0
276957,0312966970,6
277042,0451188454,0
277073,0060595183,0
277107,006054094X,8
277107,081297106X,10
277109,0751503894,5
277157,055358295X,0
277168,0446602485,0
277168,067102423X,0
277187,0671042858,0
277195,0399142789,0
277195,0671021001,10
277196,0345397606,0
277196,0553271644,7
277196,0670820555,0
277197,0375703861,7
277235,0375703861,10
277244,0345443284,0
277272,0552998486,0
277285,0806523794,9
277378,0385474016,0
277378,0553279378,0
277427,0060930535,0
277427,014100018X,0
277427,0316284955,0
277427,0345436911,0
277427,0375700129,0
277427,0375727132,0
277427,0375751513,9
277427,038548951X,0
277427,0425152898,0
277427,0440236738,9
277427,0441627404,10
277427,0446608890,10
277427,0486406644,0
277427,0679731148,9
277427,0679731377,0
277427,080411918X,0
277427,080501604X,0
277427,0836204387,0
277427,0836217691,10
277427,0836221362,0
277427,1400034779,0
277435,031215125X,8
277478,0345443284,0
277478,0440234743,0
277478,0553579754,0
277478,0679761047,0
277478,0752853694,10
277478,0765305119,0
277478,0812532635,0
277527,0679723161,8
277639,0515100536,0
277639,0553579754,7
277647,067976397X,8
277698,0316769487,6
277710,0345441036,0
277710,0425192032,9
277710,0451210840,5
277710,0451210859,0
277744,0440235162,5
277807,0345443284,5
277922,0553582917,10
277923,0140154078,0
277928,0679731148,0
277928,0767915062,9
277937,0316168815,7
277945,0312983301,6
277954,0425147517,0
277954,0465014909,0
277962,0380710846,0
277965,0425174808,0
277965,0425176932,0
277965,0425182673,0
277965,0425190919,0
277965,0446526126,8
277965,1573221112,0
277984,1593080549,10
278012,006251279X,0
278026,0060572965,9
278026,0451206525,8
278026,0515135968,8
278063,0452281253,7
278111,0743431014,0
278137,0446606812,7
278137,0671553046,0
278144,0060930535,0
278144,0425147584,0
278144,0440234743,0
278144,0671015206,0
278144,0765341174,0
278144,076534128X,0
278144,0842332367,0
278177,0425192032,0
278185,0142000205,4
278188,006440630X,0
278188,0345439104,0
278188,0425180964,0
278188,0446354732,0
278188,0553583298,0
278199,0684841215,0
278218,0060977493,7
278221,0060930535,0
278221,0671027123,8
278253,0345455916,10
278297,0743418719,9
278314,0679731148,0
278355,1577780728,9
278356,006091646X,9
278388,0786886323,8
278418,0060927542,0
278418,006109398X,0
278418,0140177396,0
278418,0316693359,0
278418,0385265700,0
278418,038549081X,0
278418,0394800168,10
278418,0394820371,8
278418,0425170349,0
278418,0425180050,0
278418,0440184622,7
278418,0440415241,0
278418,0441317480,0
278418,0446600709,0
278418,0449001962,0
278418,0451155750,0
278418,0451160525,0
278418,0486266893,0
278418,0486286568,0
278418,0553289519,0
278418,0553560271,0
278418,0553579754,0
278418,0671014919,0
278418,0671524097,0
278418,0679732268,0
278418,0886774632,0
278418,1853260215,0
278452,0380731509,0
278461,0843949090,10
278503,1400034779,0
278525,0394820371,10
278535,0425182878,9
278535,0553575953,0
278552,0671021001,7
278582,0312966970,0
278582,0312980140,7
278582,0312983867,7
278582,1400034779,10
278586,0446606812,5
278633,0142000205,7
278633,0345439104,0
278633,0375703063,7
278633,0385474016,0
278633,0452282829,0
278633,0671553046,0
278633,0743225082,7
278645,0060959037,8
278653,0446606812,6
278672,0679731148,7
278771,0812524268,0
278773,0345457374,9
278798,0316284955,7
278836,0312983867,8
278843,0142000205,9
278843,0345420748,0
278854,0375703063,7
9,0440234743,0
39,0553582909,8
44,0842342702,0
91,0316769487,9
99,067976397X,0
135,0671042858,0
176,038572179X,0
243,0060977493,7
243,0385720106,7
243,0440234743,0
243,0446600474,0
244,0060977493,7
254,0060930535,0
254,0061020702,0
254,0066238501,5
254,014100018X,0
254,0141310685,0
254,0312869592,0
254,0316769487,0
254,034543191X,0
254,0373835493,0
254,0375724370,0
254,0375751513,0
254,0439064864,9
254,044018293X,0
254,0618002235,0
254,0671021001,7
254,076072850X,0
254,1563890356,0
254,156389226X,9
254,1563892278,0
254,1563892464,0
254,1573226882,0
272,0345391691,0
280,0316769487,7
383,0385418493,0
383,0515128554,0
388,0440234743,0
422,0316168815,0
424,014023828X,0
424,0671021001,6
424,0805063897,8
441,0446610178,7
487,0140286276,0
487,0312980388,0
487,0425181111,0
487,0486272664,9
487,080213825X,0
496,0425182878,8
499,0743412621,10
503,0380813815,0
503,0385496095,10
503,1573225789,0
508,0385335679,6
518,0099134012,0
618,0020867409,8
618,0142000205,0
638,0316769487,10
638,0345339711,10
643,1841150355,9
677,0345418778,8
714,0451155750,7
726,0451454243,10
728,0425134350,0
735,0380759497,0
741,0060085444,0
741,0064472779,0
741,0312422156,0
741,0425147517,0
746,0394820371,8
758,0140620125,10
777,0451527038,0
791,0345443284,0
805,0312420145,0
805,0553273914,0
805,0872203492,0
828,0345409469,10
853,0345375211,9
861,0060964049,0
882,0312274920,0
882,0373484410,0
882,0375724370,0
882,0385491085,0
882,0440235162,10
882,0446606812,0
882,051509465X,9
882,0618260307,10
882,0671708635,0
900,0553572490,6
901,0375751513,0
915,0380813815,0
929,0553268945,0
929,1573225789,0
1007,0446606812,0
1021,0060930535,10
1025,0552998001,9
1025,0586210687,9
1025,0743225082,8
1048,0785263780,8
1054,1400034779,8
1069,037570504X,0
1075,0767902521,9
1075,1400034779,5
1098,031227999X,7
1113,0671021001,0
1116,0061030651,8
1129,1400034779,0
1131,0385491050,0
1131,0394758285,7
1131,0679772677,7
1132,0679729917,0
1167,0060929596,10
1167,0345436911,0
1180,0812565959,10
1210,0679731148,9
1211,0752853694,8
1279,0020518609,0
1297,0679731148,7
1331,0141180633,9
1331,0312423209,0
1375,0743203313,5
1396,0380727501,10
1399,0312423799,9
1412,0385494785,9
1424,0060730552,9
1424,0060930535,7
1424,0060931671,0
1424,031215125X,7
1424,0385720106,7
1424,0440235162,0
1424,0618446877,8
1424,0679725229,0
1424,0684852705,0
1424,0743431014,7
1424,0767902521,8
1424,076790382X,0
1424,0767903862,0
1424,0767915062,0
1424,1573229865,0
1435,0374517886,8
1435,038548951X,0
1435,0517149257,10
1435,0553583298,0
1435,0743437810,0
1546,0743456866,0
1585,0316919896,7
1652,0679744479,7
1661,0375727132,0
1661,0440208149,0
1672,0394820371,0
1674,0060512806,0
1674,038548951X,10
1674,0553380958,10
1674,0679725164,6
1688,0515122491,5
1688,0515131091,6
1706,0679721819,8
1719,0671027123,3
1719,0679745645,7
1733,0425181111,7
1733,0517077744,8
1733,0743412621,8
1797,0316769487,0
1812,0671708635,7
1848,0061030651,5
1848,0441102670,0
1848,0765348446,10
1848,0812513738,8
1848,0812513754,0
1892,0767902521,9
1900,0679725164,0
1903,0060931361,9
1903,0060997028,0
1903,0140135154,0
1903,0345339711,0
1903,0345339738,0
1903,0345409469,10
1903,0380713810,0
1903,0393324869,0
1903,0439064864,0
1903,0465014909,0
1903,0679734031,0
1903,0684867486,0
1903,0743455967,0
1903,0753811464,0
1938,0811200701,0
2012,0553579754,0
2030,006251279X,10
2030,0062513346,10
2030,0385315287,10
2033,0385265700,0
2033,0439064864,9
2033,0441004997,7
2033,0765341174,0
2033,0812521358,10
2033,0812532619,8
2033,0812532635,8
2033,0836204387,10
2033,0836221362,10
2033,0886773520,0
2033,0886773784,10
2033,0886774004,10
2033,0886774268,0
2033,0886774632,10
2033,0886775167,8
2033,0886776619,9
2033,0886777208,10
2033,0886777739,10
2070,0553275860,9
2090,0515131091,0
2105,0671004549,7
2106,081297106X,6
2110,0060987529,7
2110,0064472779,8
2110,0373638167,9
2110,0553290851,0
2110,0670820555,0
2110,0671042858,0
2139,0743262174,8
2152,0375727132,7
2172,0425169693,5
2179,0380815931,10
2183,0671021001,9
2189,0312243359,8
2189,0394757653,7
2275,0060977493,0
2276,0312989385,10
2276,0449007383,10
2276,0451203267,0
2276,0451207505,0
2276,0756400619,8
2276,0805063897,10
2276,0812513738,0
2276,0886774632,10
2276,0886775167,10
2276,0886776619,0
2281,0425181103,7
2287,0142001805,0
2288,0345468392,0
2308,0671021001,0
2313,0020442602,9
2313,0452260116,9
2313,0679722319,0
2313,0679733760,7
2358,006109398X,0
2358,037570387X,0
2358,037570504X,0
2358,0440905605,0
2358,0451160312,6
2358,0671021001,0
2395,0312966970,0
2437,042518238X,0
2439,0060507403,8
2439,0679767398,7
2453,0515122491,10
2466,0312966970,9
2484,0385474016,7
2499,080213825X,5
2503,1400034779,7
2559,0679772677,0
2589,0345443284,0
2605,0767907817,7
2608,0385720106,0
2630,0684823780,8
2630,0842342702,0
2638,0142000205,8
2643,0886773784,9
2651,0425143325,0
2651,0425180964,8
2685,0345396537,9
2738,0380727501,0
2766,014100018X,0
2766,0316284955,0
2766,0425181111,0
2766,0440498058,0
2766,0446606812,0
2766,0451528018,0
2766,0679733760,5
2766,0767902521,8
2766,1573225789,0
2793,0439358078,0
2793,0515128554,0
2855,0425180964,8
2891,0060504080,9
2891,0060930535,0
2891,0141439475,0
2891,0312263996,0
2891,0312422156,0
2891,0375703861,0
2891,038548951X,8
2891,044900483X,9
2891,0452260116,8
2891,0452282195,0
2891,0553580515,0
2891,0812695313,0
2891,140003065X,9
2891,1400032717,8
2891,1583224890,0
2891,1593080549,0
2907,0449207331,0
2945,038548951X,8
2946,0552135399,0
2957,0140018328,0
2977,0312194390,8
2977,037570504X,5
2977,0385491050,3
2977,0440234743,0
